seed,fold,method,patient_macro_f1,patient_balanced_accuracy,patient_macro_auroc,patient_macro_auprc
33,4,proposed_lsa_glqie,0.19191919191919193,0.3333333333333333,0.4765793868154549,0.36581914384637143
33,4,classical_proposed,0.7396311291048133,0.7396311291048133,0.8897653258334373,0.7883799415101121
33,4,fixed_2g_6l,0.17204301075268816,0.2807017543859649,0.47432242465137203,0.381684108982524
33,4,fixed_6g_2l,0.2737060041407868,0.3263157894736842,0.38944292291815513,0.3137733705313469
33,4,shuffled_size_allocation,0.24022108843537415,0.28654970760233917,0.5212589117968375,0.38275220324843456
33,4,lesion_size_only,0.6059667886293273,0.6421052631578947,0.7911564828360494,0.6376864367118364
33,4,svm_classical_proposed,0.8941788575409265,0.912280701754386,0.9483303611593086,0.8788605527775566
33,5,global_only,0.19981325863678803,0.3569023569023569,0.4726599476599476,0.3538738532504994
33,5,local_only,0.17896892769558304,0.227013727013727,0.4704059204059204,0.3564477806012321
33,5,fixed_4g_4l,0.13580246913580246,0.3461538461538462,0.48037333037333035,0.3671341532280307
33,5,random_allocation,0.18412698412698414,0.2929292929292929,0.4794945544945546,0.3774678705932755
33,5,proposed_lsa_glqie,0.1552818215752146,0.2558922558922559,0.5392641642641642,0.3802192509857933
33,5,classical_proposed,0.87140470223177,0.8941983941983942,0.9584924834924835,0.9402546552946331
33,5,fixed_2g_6l,0.1627472937663307,0.30976430976430974,0.6026460276460276,0.4787897656889248
33,5,fixed_6g_2l,0.16666666666666666,0.3636363636363636,0.5038740788740789,0.42188553435565795
33,5,shuffled_size_allocation,0.2975609756097561,0.35975135975135974,0.5411601661601662,0.41089505548809013
33,5,lesion_size_only,0.48756323042037325,0.5701890701890702,0.6497990247990247,0.47503092816986375
33,5,svm_classical_proposed,0.8404614019520853,0.8638953638953639,0.9723363223363224,0.9417330498285833
